STT,Scope,Page/Component,Component file,Component dùng để làm gì,Component con/Dialog/State chính,Frontend service/function,Base URL config,API method,API endpoint,Backend controller file,Controller method,Backend service/file,Service method/status check chính,DTO/Type liên quan,DB Entity/Repository/Table liên quan,Câu cô có thể hỏi,Câu trả lời ngắn để vấn đáp
16,Mangaka Proposal API,Create proposal,src/frontend/src/components/MangakaDashboard.tsx,Tạo manga proposal mới từ form proposal,handleSaveProposal() khi không editing,createMangakaProposal(payload),API_BASE_URL,POST,/api/mangaka/proposals,MangakaProposalController.java,create(MangaProposalCreateRequest),InMemoryMangaProposalService.java,create(); status ban đầu Draft; validate author/title/genre/synopsis,MangaProposalCreateRequest; MangaProposalDto; MangaProposalStatus,SeriesEntity; users; series,"Proposal mới có status gì?","Backend tạo proposal với status Draft để mangaka còn chỉnh sửa trước khi submit."
17,Mangaka Proposal API,Update proposal,src/frontend/src/components/MangakaDashboard.tsx,Sửa proposal khi còn Draft hoặc NeedsRevision,handleSaveProposal() khi editing,updateMangakaProposal(id,payload),API_BASE_URL,PUT,/api/mangaka/proposals/{id}?authorEmail={email},MangakaProposalController.java,update(id,authorEmail,request),InMemoryMangaProposalService.java,update(); chỉ cho Draft/NeedsRevision; check owner,MangaProposalUpdateRequest; MangaProposalDto,SeriesEntity,"Khi nào được sửa proposal?","Service chỉ cho sửa khi proposal đang Draft hoặc NeedsRevision và đúng authorEmail."
18,Mangaka Proposal API,Submit proposal,src/frontend/src/components/MangakaDashboard.tsx,Submit proposal cho Tantou Editor,Nút submit trong dashboard,submitMangakaProposal(id,authorEmail),API_BASE_URL,PUT,/api/mangaka/proposals/{id}/submit,MangakaProposalController.java,submit(id, MangaProposalSubmitRequest),InMemoryMangaProposalService.java,submit(); Draft/NeedsRevision -> SubmittedToEditor; check có manuscript metadata,MangaProposalSubmitRequest; MangaProposalDto; MangaProposalStatus,SeriesEntity,"Submit proposal đổi status thế nào?","Submit đổi status từ Draft hoặc NeedsRevision sang SubmittedToEditor để editor review."
19,Mangaka Proposal API,Upload manuscript metadata,src/frontend/src/services/mangakaProposalService.ts,Gửi file manuscript và metadata cho proposal,handleManuscriptUpload/handleSaveProposal liên quan file,uploadMangakaManuscript(file),API_BASE_URL,POST,/api/mangaka/proposals/upload,MangakaProposalController.java,upload(MultipartFile file,...),InMemoryMangaProposalService.java,attachManuscriptMetadata(); tăng version nếu đổi file; lưu file vào storage-server/manuscripts,MultipartFile response; MangaProposalDto,SeriesEntity; storage-server/manuscripts,"Manuscript lưu ở đâu?","Controller lưu file vào storage-server/manuscripts, sau đó service attach metadata như fileName, summary, version vào proposal."
20,Mangaka Proposal API,Delete proposal,src/frontend/src/components/MangakaDashboard.tsx,Xóa proposal khi còn xóa được,Nút delete proposal,deleteMangakaProposal(id,authorEmail),API_BASE_URL,DELETE,/api/mangaka/proposals/{id}?authorEmail={email},MangakaProposalController.java,delete(id,authorEmail),InMemoryMangaProposalService.java,delete(); check owner/status nếu cần,Không trả body,SeriesEntity,"Delete proposal gọi đâu?","Frontend gọi DELETE /api/mangaka/proposals/{id}; backend xử lý ở MangakaProposalController.delete rồi service delete."
21,Tantou Editor,TantouEditorDashboard,src/frontend/src/components/TantouEditorDashboard.tsx,Màn editor review proposal trước khi board,"BUCKETS submitted/board/needsWork; selectedProposalId; note; activeAction",listTantouEditorProposals(); forwardProposalToBoard(); requestProposalRevision(); getManuscriptDownloadUrl(),tantouEditorProposalService.ts -> API_BASE_URL,Nhiều API,/api/tantou-editor/proposals,TantouEditorProposalController.java,list(); forward(); revise(); reject(),InMemoryMangaProposalService.java,listForEditor(); forwardToBoard(); requestRevisionByEditor(); rejectByEditor(),Status SubmittedToEditor -> UnderBoardReview hoặc NeedsRevision/Rejected,EditorProposalReviewRequest; MangaProposalDto,SeriesEntity; BoardVoteEntity,"Editor dashboard làm gì trong flow?","Editor nhận proposal SubmittedToEditor, có thể forward board, yêu cầu revise hoặc reject."
22,Tantou Editor API,List editor proposals,src/frontend/src/services/tantouEditorProposalService.ts,Lấy proposals editor cần review,loadProposals() trong TantouEditorDashboard,listTantouEditorProposals(editorEmail),API_BASE_URL,GET,/api/tantou-editor/proposals?editorEmail={email},TantouEditorProposalController.java,list(editorEmail),InMemoryMangaProposalService.java,listForEditor(); lấy SubmittedToEditor/UnderBoardReview/NeedsRevision/Approved...,MangaProposalDto,SeriesEntity,"Editor lấy list từ API nào?","GET /api/tantou-editor/proposals?editorEmail=..., service listForEditor lọc các status editor cần xem."
23,Tantou Editor API,Forward to board,src/frontend/src/components/TantouEditorDashboard.tsx,Editor chuyển proposal lên board,Nút forward; note input,forwardProposalToBoard(id,editorEmail,note),API_BASE_URL,PUT,/api/tantou-editor/proposals/{id}/forward-board,TantouEditorProposalController.java,forward(id, request),InMemoryMangaProposalService.java,forwardToBoard(); chỉ SubmittedToEditor -> UnderBoardReview,EditorProposalReviewRequest; MangaProposalStatus,SeriesEntity; BoardVoteEntity,"Chỗ nào check proposal phải SubmittedToEditor mới forward?","Trong InMemoryMangaProposalService.forwardToBoardMemory/Db, nếu status không phải SubmittedToEditor thì throw IllegalArgumentException."
24,Tantou Editor API,Request revision/reject,src/frontend/src/components/TantouEditorDashboard.tsx,Editor yêu cầu tác giả sửa hoặc reject proposal,Nút revision/reject; note input,requestProposalRevision(); rejectProposalByEditor(),API_BASE_URL,PUT,/api/tantou-editor/proposals/{id}/request-revision ; /reject,TantouEditorProposalController.java,revise(); reject(),InMemoryMangaProposalService.java,requestRevisionByEditor(); rejectByEditor(); SubmittedToEditor -> NeedsRevision/Rejected,EditorProposalReviewRequest; MangaProposalStatus,SeriesEntity,"NeedsRevision sinh ra khi nào?","Khi editor gọi request-revision, service đổi status SubmittedToEditor sang NeedsRevision và lưu note."
25,Editorial Board,EditorialBoardDashboard,src/frontend/src/components/EditorialBoardDashboard.tsx,Màn board member xem/vote proposal,"BUCKETS review/approved/rejected; selectedProposalId; activeAction; boardVoteDisplay",listEditorialBoardProposals(); approveProposalForProduction(); rejectProposalByBoard(); getManuscriptDownloadUrl(),editorialBoardProposalService.ts -> API_BASE_URL,Nhiều API,/api/editorial-board/proposals,EditorialBoardProposalController.java,list(); approve(); reject(),InMemoryMangaProposalService.java,listForBoard(); approveByBoard(); rejectByBoard(),Chỉ vote khi UnderBoardReview; mỗi member vote 1 lần; đủ 3 vote thì Approved/Rejected,BoardProposalDecisionRequest; MangaProposalDto; MangaProposalStatus,BoardVoteEntity; SeriesEntity; board_votes,"BoardDashboard hiển thị vote như thế nào?","Nó nhóm proposal theo status và dùng boardApproveVotes/boardRejectVotes/boardPendingVotes để hiện số phiếu."
26,Editorial Board API,List board proposals,src/frontend/src/services/editorialBoardProposalService.ts,Lấy proposal cho board member,loadProposals() trong EditorialBoardDashboard,listEditorialBoardProposals(memberEmail),API_BASE_URL,GET,/api/editorial-board/proposals?memberEmail={email},EditorialBoardProposalController.java,list(memberEmail),InMemoryMangaProposalService.java,listForBoard(); lọc UnderBoardReview/Approved/Rejected/Serializing,MangaProposalDto; currentMemberVote,BoardVoteEntity; board_votes,"Board lấy danh sách từ đâu?","GET /api/editorial-board/proposals?memberEmail=..., service trả kèm vote hiện tại của member."
27,Editorial Board API,Approve/reject proposal,src/frontend/src/components/EditorialBoardDashboard.tsx,Board member vote approve/reject proposal,Nút approve/reject; activeAction,approveProposalForProduction(); rejectProposalByBoard(),API_BASE_URL,PUT,/api/editorial-board/proposals/{id}/approve ; /reject,EditorialBoardProposalController.java,approve(id,request); reject(id,request),InMemoryMangaProposalService.java,voteByBoardMemory/Db(); check board member; check duplicate vote; đủ BOARD_MEMBERS thì finalize,MangaProposalDto; BoardProposalDecisionRequest; MangaProposalStatus,BoardVoteEntity; SeriesEntity; board_votes,"Vì sao cần board 3 vote?","Service có BOARD_MEMBERS gồm 3 email; chỉ khi votes.size() >= 3 thì mới đổi status sang Approved hoặc Rejected."
28,Mangaka Production,Production section in MangakaDashboard,src/frontend/src/components/MangakaDashboard.tsx,Sau proposal Approved thì tạo chapter/page/region/task,"chapterForm,pageForm,regionForm,taskForm; selectedChapterId/PageId/RegionId",listMangakaChapters(); createMangakaChapter(); createMangakaPage(); createMangakaRegion(); createMangakaTask(); approveMangakaTask(); redoMangakaTask(),mangakaProductionService.ts -> API_BASE_URL,Nhiều API,/api/mangaka/proposals/{proposalId}/chapters...,MangakaProductionController.java,list(); create(); addPage(); addRegion(); addTask(); approve(); redo(),InMemoryMangakaProductionService.java,ensureApprovedProposalForAuthor(); chỉ Approved/Serializing; task transition Pending/InProgress/Submitted/Approved/RedoRequested,MangakaChapterDto; PageDto; RegionDto; TaskDto,ChapterEntity; PageEntity; TaskEntity; SubmissionEntity; chapters; pages; tasks; submissions,"Production chỉ mở khi nào?","Backend service check proposal phải thuộc author và status Approved hoặc Serializing thì mới tạo chapter/page/task."
29,Mangaka Production API,List/create chapter,src/frontend/src/services/mangakaProductionService.ts,Lấy/tạo chapter cho proposal approved,Production view/loadProduction, listMangakaChapters(); createMangakaChapter(),API_BASE_URL,GET/POST,/api/mangaka/proposals/{proposalId}/chapters?authorEmail={email},MangakaProductionController.java,list(); create(),InMemoryMangakaProductionService.java,listChapters(); createChapter(); check approved proposal,MangakaChapterCreateRequest; MangakaChapterDto,ChapterEntity; SeriesEntity; chapters; series,"Create chapter check gì?","Service gọi ensureApprovedProposalForAuthor để chắc proposal đã Approved/Serializing và đúng author."
30,Mangaka Production API,Create page,src/frontend/src/services/mangakaProductionService.ts,Thêm page vào chapter,Page form,createMangakaPage(),API_BASE_URL,POST,/api/mangaka/proposals/{proposalId}/chapters/{chapterId}/pages?authorEmail={email},MangakaProductionController.java,addPage(),InMemoryMangakaProductionService.java,addPage(); check chapter thuộc proposal,MangakaPageCreateRequest; MangakaPageDto,PageEntity; ChapterEntity; pages; chapters,"Page thuộc cái gì?","Page thuộc chapter, backend nhận chapterId và proposalId rồi service kiểm tra chapter thuộc proposal trước khi thêm."
31,Mangaka Production API,Create region,src/frontend/src/services/mangakaProductionService.ts,Đánh dấu vùng trên page để giao task,Region form,createMangakaRegion(),API_BASE_URL,POST,/api/mangaka/proposals/{proposalId}/chapters/{chapterId}/pages/{pageId}/regions?authorEmail={email},MangakaProductionController.java,addRegion(),InMemoryMangakaProductionService.java,addRegion(); check page/chapter/proposal; lưu tọa độ vùng,MangakaPageRegionCreateRequest; MangakaPageRegionDto,PageEntity/AnnotationEntity hoặc region model; pages/annotations,"Region dùng làm gì?","Region là vùng trên page như speech bubble/area cần xử lý, để từ đó giao task cho assistant."
32,Mangaka Production API,Assign assistant task,src/frontend/src/services/mangakaProductionService.ts,Giao task cho assistant trên một region,Task form,createMangakaTask(),API_BASE_URL,POST,/api/mangaka/proposals/{proposalId}/chapters/{chapterId}/pages/{pageId}/regions/{regionId}/tasks?authorEmail={email},MangakaProductionController.java,addTask(),InMemoryMangakaProductionService.java,assignTask(); tạo task Pending; check assistantEmail/taskType/instructions,MangakaProductionTaskCreateRequest; MangakaProductionTaskDto,TaskEntity; UserEntity; SkillEntity; tasks; users; skills,"Task mới status gì?","Task mới được tạo ở status Pending để assistant nhận và bắt đầu làm."
33,Mangaka Production API,Approve/redo task,src/frontend/src/services/mangakaProductionService.ts,Mangaka review task assistant submitted,Nút approve/redo trong production,approveMangakaTask(); redoMangakaTask(),API_BASE_URL,PUT,/tasks/{taskId}/approve ; /redo,MangakaProductionController.java,approve(); redo(),InMemoryMangakaProductionService.java,approveTask(); requestRedoTask(); rule: APPROVED rồi không được redo,MangakaProductionTaskDto; task status enum,TaskEntity; SubmissionEntity; tasks; submissions,"Rule APPROVED không redo nằm đâu?","Trong InMemoryMangakaProductionService.requestRedoTask, nếu task đã Approved thì không cho request redo nữa."
34,Assistant,AssistantDashboard,src/frontend/src/components/AssistantDashboard.tsx,Màn assistant xem task/start/submit,"BUCKETS pending/progress/submitted; selectedTaskId; submitForm; activeTaskAction",listAssistantTasks(); startAssistantTask(); submitAssistantTask(),assistantTaskService.ts -> API_BASE_URL,GET/PUT,/api/assistant/tasks...,AssistantTaskController.java,list(); start(); submit(),InMemoryMangakaProductionService.java,listAssistantTasks(); startAssistantTask(); submitAssistantTask(),Task flow Pending/RedoRequested -> InProgress -> Submitted -> Approved,AssistantTaskDto; AssistantTaskStatus,TaskEntity; SubmissionEntity; tasks; submissions,"AssistantDashboard làm gì?","Assistant xem task được giao, start task để chuyển InProgress, rồi submit file/note để chuyển Submitted."
35,Assistant API,List assistant tasks,src/frontend/src/services/assistantTaskService.ts,Lấy task theo assistant email,loadTasks() trong AssistantDashboard,listAssistantTasks(assistantEmail),API_BASE_URL,GET,/api/assistant/tasks?assistantEmail={email},AssistantTaskController.java,list(assistantEmail),InMemoryMangakaProductionService.java,listAssistantTasks(); lọc task theo assistantEmail,AssistantTaskDto,TaskEntity; tasks,"Assistant lấy task bằng gì?","GET /api/assistant/tasks?assistantEmail=..., controller AssistantTaskController.list, service listAssistantTasks."
36,Assistant API,Start task,src/frontend/src/services/assistantTaskService.ts,Assistant bắt đầu làm task,Nút start task,startAssistantTask(taskId,assistantEmail),API_BASE_URL,PUT,/api/assistant/tasks/{taskId}/start,AssistantTaskController.java,start(taskId, request),InMemoryMangakaProductionService.java,startAssistantTask(); Pending/RedoRequested -> InProgress; check đúng assistant,AssistantTaskActionRequest; AssistantTaskDto,TaskEntity; tasks,"Start task đổi status gì?","Backend đổi từ Pending hoặc RedoRequested sang InProgress."
37,Assistant API,Submit task,src/frontend/src/services/assistantTaskService.ts,Assistant nộp kết quả task,Submit form: submittedFileName/submissionNote,submitAssistantTask(taskId,assistantEmail,file,note),API_BASE_URL,PUT,/api/assistant/tasks/{taskId}/submit,AssistantTaskController.java,submit(taskId, request),InMemoryMangakaProductionService.java,submitAssistantTask(); InProgress -> Submitted; lưu submission info,AssistantTaskSubmitRequest; AssistantTaskDto,TaskEntity; SubmissionEntity; tasks; submissions,"Submit task lưu gì?","Lưu submittedFileName, note, submittedAt và đổi task status sang Submitted để mangaka review."
38,Download file,Manuscript download link,TantouEditorDashboard.tsx; EditorialBoardDashboard.tsx,Tạo link tải manuscript để editor/board xem file,Nút/link download manuscript,getManuscriptDownloadUrl(fileName),API_BASE_URL,GET,/api/mangaka/proposals/files/{fileName},MangakaProposalController.java,download(fileName),MangakaProposalController.java,Đọc file từ storage-server/manuscripts; fallback path cũ ~/swp391-uploads/manuscripts,Resource download response,storage-server/manuscripts,"Download manuscript đi qua controller nào?","Link dùng endpoint GET /api/mangaka/proposals/files/{fileName}, controller trả Resource file từ storage-server/manuscripts."
39,Config,Base URL in services,src/frontend/src/services/*.ts,Cấu hình nơi frontend gọi backend,Mỗi service tự khai báo API_BASE_URL,Tất cả service functions,import.meta.env.VITE_API_BASE_URL ?? http://localhost:8080,Tất cả,Tất cả backend endpoints,Tất cả controllers,Tất cả methods,Tùy module,Tùy module,Tùy module,"Nếu đổi backend port/domain thì sửa đâu?","Set VITE_API_BASE_URL trong env frontend; nếu không set thì service mặc định gọi http://localhost:8080."
40,Backend config,Storage config,src/backend/src/main/resources/application.properties; application-local.properties,Cấu hình nơi lưu file upload backend,Không phải component UI,Không có,MANUSCRIPT_STORAGE_DIR hoặc app.storage.manuscripts-dir,N/A,N/A,MangakaProposalController.java,upload(); download(); manuscriptStorageDirectory(),MangakaProposalController.java,default storage-server/manuscripts; có fallback legacy download,Không có,storage-server/manuscripts,"File upload backend lưu vào đâu?","Mặc định lưu vào storage-server/manuscripts, có thể đổi bằng MANUSCRIPT_STORAGE_DIR."
41,ERD/DB,Auth/account tables,schema.sql; database.txt,Lưu user/role/permission/skill,Không phải component UI,N/A,N/A,N/A,N/A,N/A,N/A,Account/auth services,Quan hệ users-roles-skills,UserEntity; RoleEntity; SkillEntity; UserSkillEntity,users; roles; permissions; role_permissions; skills; user_skills,"Auth liên quan bảng nào?","users lưu account, roles lưu role, user_skills nối user với skill; permission tables phục vụ phân quyền."
42,ERD/DB,Proposal workflow tables,schema.sql; database.txt,Lưu proposal/series/board vote,Không phải component UI,N/A,N/A,N/A,N/A,N/A,N/A,InMemoryMangaProposalService,Status proposal và board voting,SeriesEntity; BoardVoteEntity,series hoặc series; board_votes,"Proposal liên quan bảng nào?","Proposal/series lưu thông tin manga proposal; board_votes lưu từng phiếu của board member."
43,ERD/DB,Production/task tables,schema.sql; database.txt,Lưu chapter/page/task/submission/annotation,Không phải component UI,N/A,N/A,N/A,N/A,N/A,N/A,InMemoryMangakaProductionService,Task state machine,MangakaChapterDto; PageDto; TaskDto; Submission DTO,chapters; pages; tasks; submissions; annotations,"Production liên quan bảng nào?","chapters/pages lưu sản phẩm, tasks lưu việc giao assistant, submissions lưu kết quả assistant nộp, annotations/regions lưu vùng trên page."
44,Demo flow,Newman/Postman collection,postman/manga-workflow-flow.postman_collection.json,Test tự động toàn bộ flow backend 15 API,Không phải React component,npm run test:api,http://localhost:8080,15 requests,Nhiều endpoint auth/proposal/editor/board/production/assistant,Nhiều controllers,Nhiều methods,Nhiều services,Check 30 assertions status code/status data,Tất cả DTO chính,Tất cả table chính trong flow,"Làm sao chứng minh backend chạy đúng?","Chạy npm run test:api; nếu 15 requests và 30 assertions đều failed 0 thì flow backend pass end-to-end."
45,Status flow,Proposal status enum,src/backend/src/main/java/com/mangaworkflow/domain/proposal/MangaProposalStatus.java,Định nghĩa các trạng thái proposal,Frontend dùng type MangaProposalStatus trong src/frontend/src/types/mangaka.ts,N/A,N/A,N/A,N/A,N/A,N/A,InMemoryMangaProposalService.java,Status chính: Draft -> SubmittedToEditor -> UnderBoardReview -> Approved/Rejected/NeedsRevision/Serializing,MangaProposalStatus,SeriesEntity.status,"Cô hỏi status proposal chạy thế nào?","Mangaka tạo Draft, submit thành SubmittedToEditor, editor forward thành UnderBoardReview, board vote đủ thì Approved hoặc Rejected; editor có thể request NeedsRevision."
